dataset_id	file_name	exists	rows_approx	n_columns	target_candidate	target_source	target_nunique_sample	target_dtype_sample	last_column	sensitive_candidates_REVIEW	sha256	duplicate_sha_with	size_bytes	columns
river_SEA_2	river_SEA_2.csv	True	40000	4	class	named_candidate	2	bool	class		55c4b0eb2d842a6abac82156648be74283a15aceac8312637bd1b3329ba203e4		2408940	x1,x2,x3,class
river_SINE	river_SINE.csv	True	40000	5	class	named_candidate	2	int64	class		eb49e73b33cf878ab399d33ffebd8dae8837c396d1dc53f504b5a4a1a0112831		3163705	x1,x2,x3,x4,class
river_STAGGER	river_STAGGER.csv	True	40000	4	class	named_candidate	2	int64	class		ed72aad21ea5ef2f4565c996a7bb8afb4fcc8dad1b1714a0a465fcce2b47b447		320015	x1,x2,x3,class
river_Waveform	river_Waveform.csv	True	30000	41	class	named_candidate	3	int64	class		c82b880a97a8d014f223602d663e26f2b50bccde31c1b81e1b1de38295d680a5		23200933	x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,class
river_Waveform_2	river_Waveform_2.csv	True	35000	41	class	named_candidate	3	int64	class		f9e2738d49d53290f542c8400841a0909f9cd203e4b9da65a52de7dbd9c7d69d		27068881	x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,class
river_aggrawal	river_aggrawal.csv	True	40000	10	class	named_candidate	2	int64	class	age	06d976207ad88f5361ab14de12bba8c15d12ea54d740d5df45f51c5b5811c30f		3108327	salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,class
river_anomalysine	river_anomalysine.csv	True	40000	3	class	named_candidate	2	bool	class		a21c3b34aa759d8abb75a660b514cd517ca0806b4a0ba544016c534772d7464e		1807098	sine,cosine,class
river_hyperlane	river_hyperlane.csv	True	40000	9	class	named_candidate	2	int64	class		e349eabb483ecc805c54846af4faa73e37a76baee8ab0ed3d2dc9d7d5d2dde9a		6246780	0,1,2,3,4,5,6,7,class
river_hyperlane_2	river_hyperlane_2.csv	True	40000	9	class	named_candidate	2	int64	class		242327977cc4ace68fa20307d33c9e7c0da9ee2565a1df13c40fc0040e3801ba		6246166	x1,x2,x3,x4,x5,x6,x7,x8,class
river_led	river_led.csv	True	40000	8	class	named_candidate	10	int64	class		010268bcddacf8d76127eb7e4ef80b5002993f6c43f68eecd0d8f516c2993d7c		640020	0,1,2,3,4,5,6,class
river_led_default_drift	river_led_default_drift.csv	True	30000	25	class	named_candidate	10	int64	class		f5dbabf50eff6595814d137fced4668e40bf2a8f6e630e9051a2d07beb39739e		1500068	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,class
river_mixed	river_mixed.csv	True	30000	5	class	named_candidate	2	int64	class		a579f7e1d16efae75e496d08d4804645975ed669063ab0a1aac9506ac76b7349		1546231	0,1,2,3,class
river_randomRBF	river_randomRBF.csv	True	30000	10	class	named_candidate	2	int64	class		f64656711f834d164d0366ea847b8bbc757e89027141e0ee528f3000cd8bb50f		5267620	x1,x2,x3,x4,x5,x6,x7,x8,x9,class
river_randomRBF_2	river_randomRBF_2.csv	True	40000	10	class	named_candidate	2	int64	class		c8cd77d8883ded5dd903024c5743129d3ade9a22c8ec998841cf9b84a8c4f46c		7042425	x1,x2,x3,x4,x5,x6,x7,x8,x9,class
river_randomRBF_drift	river_randomRBF_drift.csv	True	30000	10	class	named_candidate	2	int64	class		90132441dd65b579e128d86c4ffe767a2dba26bf39a8ccd24a1dbe97dc106e67		5262353	x1,x2,x3,x4,x5,x6,x7,x8,x9,class
river_randomTree	river_randomTree.csv	True	38000	10	class	named_candidate	2	int64	class		3cf8efdc37f13a10b17b72c85f8bc6f286e34d5a3032cbdfbae96fcfc9ae8fec		3385223	x1,x2,x3,x4,x5,x6,x7,x8,x9,class
river_randomTree_2	river_randomTree_2.csv	True	40000	10	class	named_candidate	2	int64	class		1291c106ee4136c2741818a583758642069d0020ba31374ed6440840bc6b06e3		4944978	x1,x2,x3,x4,x5,x6,x7,x8,x9,class
sea_high_abrupt_drift	sea_high_abrupt_drift.csv	True	500000	4	class	named_candidate	2	int64	class		a8f83a46dba9cef9be6c1e2a2a3b465adbc29607a4ea1f9ef79c52fe421600ea		28903699	0,1,2,class
sea_high_mixed_drift	sea_high_mixed_drift.csv	True	500000	4	class	named_candidate	2	int64	class		c42251245fa1126efd1f3b2537395ad6682b5ba7d13bdc9160fe9f56c905db69		28903707	0,1,2,class
shuttle	shuttle.csv	True	58000	10	class	named_candidate	6	int64	class		0d42450dda192d77af3813cccaef1e910a6ad17e49d827e772e7c59a1054a496		1537828	A1,A2,A3,A4,A5,A6,A7,A8,A9,class
skmul_SEA	skmul_SEA.csv	True	40000	4	class	named_candidate	2	int64	class		21effe73a937eda8c433eb57c941cdbded9d6a2dcabe2549b30076309392bb89		2274153	x1,x2,x3,class
skmul_SEA_2	skmul_SEA_2.csv	True	40000	4	class	named_candidate	2	float64	class		643c28508872aa791c220c96b0c64d6b4f6b4c609ac41d1128aa7d6829cfea4e		2363454	x1,x2,x3,class
skmul_STAGGER	skmul_STAGGER.csv	True	40000	4	class	named_candidate	2	float64	class		c4ebfddcd20c5d46625b571e82527aa761bd9e35d02bd3869b08b7ea04bc1b96		640015	x1,x2,x3,class
skmul_STAGGER_2	skmul_STAGGER_2.csv	True	40000	4	class	named_candidate	2	float64	class		7d4be4fa73e455018892c8faaa0e154e13099c32f81bb5b31241ee9753835cfd		640015	x1,x2,x3,class
skmul_Sine	skmul_Sine.csv	True	40000	5	class	named_candidate	2	int64	class		599fcba9ac9b04b4e8180fd0c241ba6f09799463f498984432052240e2996b04		3163612	x1,x2,x3,x4,class
skmul_Waveform	skmul_Waveform.csv	True	35000	41	class	named_candidate	3	float64	class		223cd8de33b7ace86eff32e6edfe10bc88b387ed298147c9606e220a02c6ddd6		27136896	x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,class
skmul_aggrawal	skmul_aggrawal.csv	True	40000	10	class	named_candidate	2	int64	class		7802a9ab96a97521866513338c5abda155963c2e73ae60cd93df094127bce54f		3574126	x1,x2,x3,x4,x5,x6,x7,x8,x9,class
skmul_anomalysine	skmul_anomalysine.csv	True	40000	3	class	named_candidate	2	float64	class		05576e9c49b94d305d711b6fe6e95cc0d1593c042408ee3a56dcc9594080bddd		1722971	x1,x2,class
skmul_anomalysine_2	skmul_anomalysine_2.csv	True	40000	3	class	named_candidate	2	float64	class		167f485c3c7a061c6ecc003e3bf3b713bc7e896d4ff0151c2ced0ab93eeb910d		1726440	x1,x2,class
skmul_hyperlane	skmul_hyperlane.csv	True	40000	6	class	named_candidate	2	int64	class		3356ce2fb20d26f366a85777eafe5897e35c98cf6c8997549d029772ed3fd86c		3933693	x1,x2,x3,x4,x5,class
skmul_ledgenerator	skmul_ledgenerator.csv	True	40000	8	class	named_candidate	10	float64	class		20b4062ab5ddf2d59e87bce96b60d13c6c6d3fe3848e2411233b43fabcbf5ece		1280027	x1,x2,x3,x4,x5,x6,x7,class
skmul_ledgenerator_default_drift	skmul_ledgenerator_default_drift.csv	True	40000	25	class	named_candidate	10	int64	class		196f40a22f93da35adcc88ab09b58a40f5b349f3ecc4dc5225f46836b2f2e662		3920093	x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,class
skmul_randomRBF_default_drift	skmul_randomRBF_default_drift.csv	True	40000	13	class	named_candidate	2	int64	class		ca527a431b03b15760a7236ffed6ae7d03d96ccb04f96e515abab8b0d2604133		9340362	x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,class
skmul_randomRBF_gradual	skmul_randomRBF_gradual.csv	True	40000	9	class	named_candidate	3	float64	class		0ff4591e0fe9dc896b3a8a333171dc57998cfe4e85a1d1eaa5b6490996094765		6343627	x1,x2,x3,x4,x5,x6,x7,x8,class
skmul_randomTree	skmul_randomTree.csv	True	40000	13	class	named_candidate	2	float64	class		040e4558b990327e35b1d639141bf24f6d630f0060edb6caa11953aa58897034		5745055	x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,class
skmul_randomTree_2	skmul_randomTree_2.csv	True	40000	13	class	named_candidate	2	float64	class		ef137202d889671bee629e792655a133105710f5505c9f746c61e55e65df602a		5744751	x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,class
synth_RandomRBFDrift	synth_RandomRBFDrift.csv	True	100000	5	class	named_candidate	4	float64	class		77fdbbc0fe30f87319bf541710a8d7f81a359cff76e19ee531e7c7cdfde4e59a		8251072	0,1,2,3,class
