feat_1,feat_2,class
0.171823,0.0453782,3
0.4004004,0.0192457,0
0.3308322,0.0335545,1
0.270071,0.0307573,2
0.1941222,0.0410178,3
0.388859,0.0141786,0
0.3327041,0.0266982,1
0.2633384,0.0028478,2
0.2086331,0.0441379,3
0.4138776,0.0076905999999999,0
0.3383937,0.0316799,1
0.2713851,0.026383,2
0.1872307,0.0074206999999999,3
0.4123862,0.0373984,0
0.3345597,0.0300158,1
0.2839208,0.0429866,2
0.1681747,0.017505,3
0.4161368,0.0061897,0
0.3590568,0.0230351,1
0.2738012,0.0496267,2
0.1837471,0.0332305,3
0.4090711,0.0060523,0
0.3626635,0.0437179,1
0.2799008,0.0009344,2
0.1943264,0.037932,3
0.4229492,0.0078992,0
0.3562956,0.0016083,1
0.2633563,0.0166869,2
0.2096445,0.0431192,3
0.3914979,0.0053837,0
0.3512639,0.0441445,1
0.2709273,0.0387199,2
0.2067251,0.0303053,3
0.4014393,0.0426296,0
0.3469541,0.0071991,1
0.273475,0.0265401,2
0.1723313,0.041898,3
0.4254541,0.0072119999999999,0
0.3648238,0.0054081,1
0.2464645,0.0172067,2
0.2124688,0.0045896,3
0.439701,0.0345413,0
0.3661665,0.0454366,1
0.279626,0.0474019,2
0.1874127,0.0458389,3
0.3991472,0.0237243,0
0.3223513,0.0264943,1
0.2791507,0.0253144,2
0.1732097,0.0058866,3
0.4170399,0.0489256,0
0.3615185,0.0287311,1
0.2806627,0.009466,2
0.180437,0.0338791,3
0.4429247,0.0286554,0
0.3255137,0.0221156,1
0.2705612,0.0327848,2
0.1951155,0.005489,3
0.4212697,0.0371246,0
0.3421103,0.0152411,1
0.2685474,0.0090835,2
0.1942198,0.0118155,3
0.4342121,0.0158874999999999,0
0.3274142,0.0051253,1
0.2693794,0.0046174,2
0.1862163,0.0373752,3
0.4427882,0.0424227,0
0.344209,0.0323096,1
0.2879947,0.0258419,2
0.1928242,0.02977,3
0.4100772,0.0215588,0
0.3738841,0.0295848,1
0.2873668,0.0141794,2
0.1939114,0.0012924,3
0.4183539,0.0120236,0
0.3278574,0.0223833,1
0.2611357,0.0018874,2
0.1959843,0.0158287,3
0.4153878,0.0401176,0
0.3476807,0.0130585,1
0.2867239,0.0247951,2
0.2002371,0.038943,3
0.4284585,0.0035882,0
0.3551757,0.0239537,1
0.2768378,0.040901,2
0.1785117,0.047622,3
0.4133638,0.0429192,0
0.3641812,0.038452,1
0.283857,0.0155373,2
0.1926801,0.0199597,3
0.4110759,0.0475077,0
0.3559673,0.0467607,1
0.2772095,0.0410236,2
0.2024451,0.0161332,3
0.417316,0.0466649,0
0.3685899,0.0490704,1
0.2882555,0.0457611,2
0.2110875,0.0397714,3
0.4517107,0.0349408,0
0.3327941,0.0353682,1
0.2875936,0.0411631,2
0.2121867,0.0427745,3
0.4550293,0.0177017,0
0.3786636,0.022427,1
0.2701778,0.0405489,2
0.2281196,0.0212424,3
0.4395359,0.0362404,0
0.3550861,0.0474383,1
0.2912001,0.0330867,2
0.212857,0.0319473,3
0.4547842,0.0495639,0
0.3754063,0.0487341,1
0.2706748,0.0077771999999999,2
0.2315695,0.0159305,3
0.4576818,0.0021938,0
0.3363567,0.0475713,1
0.3037764,0.0062019,2
0.2114665,0.039576,3
0.4362342,0.0369917,0
0.3474871,0.0420434,1
0.3001416,0.0223247,2
0.2216379,0.0368962,3
0.4158285,0.0294527,0
0.385563,0.0145331,1
0.2732474,0.0215075,2
0.215462,0.0345412,3
0.421773,0.0481984,0
0.3642799,0.0185206,1
0.2879023,0.0409125,2
0.2010209,0.0346814,3
0.4429587,0.0135269,0
0.3618664,0.0430177,1
0.2860965,0.0316679,2
0.2222758,0.0315962,3
0.4593355,0.0411063,0
0.3464872,0.0310879,1
0.2839673,0.0096107,2
0.2198899,0.0013396,3
0.437728,0.0423573,0
0.3659728,0.0486316,1
0.2921617,0.0299764,2
0.2166776,0.0335113,3
0.4244576,0.0102291,0
0.3757833,0.0477675,1
0.3074575,0.0482681,2
0.2389354,0.0065608,3
0.4219283,0.0142167,0
0.3865322,0.0202834,1
0.3170661,0.0390889,2
0.2361595,0.0051233,3
0.4287559,0.0463714,0
0.3803624,0.0349638,1
0.3037279,0.0404752,2
0.2006828,0.0386766,3
0.4230196,0.049184,0
0.3567489,0.0122351,1
0.2783774,0.0107375,2
0.2126549,0.0166086,3
0.454778,0.0315573,0
0.375297,0.0455351,1
0.2800174,0.0365699,2
0.2459234,0.0374533,3
0.4640253,0.0118885,0
0.388034,0.0381157,1
0.2752421,0.0362227,2
0.2173771,0.014103,3
0.4329657,0.0217983,0
0.3770267,0.0344448,1
0.3209955,0.04763,2
0.2357526,0.0164570999999999,3
0.4288321,0.0149514,0
0.3585445,0.0067459,1
0.3217077,0.0364667,2
0.2290017,0.0119128,3
0.4362057,0.0145239,0
0.3642767,0.0016301,1
0.2968879,0.0435723,2
0.2348828,0.0387469,3
0.4488254,0.0166246,0
0.3787998,0.0173526999999999,1
0.2931996,0.0091774,2
0.21274,0.0314801,3
0.433927,0.0089679,0
0.3602621,0.0344159,1
0.3142368,0.0236486,2
0.2335055,0.014708,3
0.4448021,0.0038862,0
0.3782157,0.0257381,1
0.3102115,0.0378989,2
0.2315418,0.0344985,3
0.4470984,0.01406,0
0.3672767,0.0117797,1
0.3202574,0.0444203,2
0.2371164,0.0484246,3
0.4673035,0.0277856,0
0.3887448,0.0165746,1
0.3244776,0.0436071,2
0.234539,0.0208274,3
0.4813062,0.035332,0
0.4045796,0.0467024,1
0.3004866,0.0167344,2
0.2364179,0.0355571,3
0.4444175,0.0115127,0
0.3860818,0.0231342,1
0.3057988,0.0100823,2
0.2118117,0.0131614,3
0.4606639,0.0496303,0
0.3934215,0.0329487,1
0.3053144,0.0147163,2
0.2202211,0.0023486,3
0.481008,0.0406223,0
0.385756,0.0237119,1
0.301679,0.0350622,2
0.2190997,0.0052186,3
0.4697605,0.0456117,0
0.38343,0.0048749,1
0.313882,0.0090487,2
0.2433267,0.0244232,3
0.4614751,0.0267076,0
0.406931,0.0452757,1
0.3202652,0.0482745,2
0.2409332,0.0080241,3
0.4450398,0.0469604,0
0.3958563,0.0081116999999999,1
0.3376526,0.034701,2
0.2219773,0.0132524,3
0.4428702,0.0305298,0
0.4084929,0.0237417,1
0.3279593,0.0213121,2
0.2555907,0.0042349,3
0.451138,0.0465596,0
0.383916,0.0398026,1
0.3117054,0.0088229,2
0.2208997,0.0481024,3
0.4852123,0.0143125,0
0.3937023,0.0254903,1
0.3352297,0.0241809,2
0.2291611,0.0447975,3
0.4762366,0.0240843,0
0.3942937,0.0015988,1
0.3238143,0.0472336,2
0.226967,0.047985,3
0.4714882,0.032479,0
0.3846498,0.0203511,1
0.3127559,0.0478689,2
0.2464108,0.0254304,3
0.4749554,0.0286559,0
0.3745604,0.0015061,1
0.3358323,0.0195064,2
0.248607,0.0254425,3
0.4650625,0.048474,0
0.4045305,0.0227678,1
0.3116814,0.0220848,2
0.2616805,0.0115663,3
0.4640763,0.0458019,0
0.38575,0.045275,1
0.3049916,0.0131253,2
0.2381802,0.0308041,3
0.4591563,0.0008744,0
0.3862312,0.0197876,1
0.3330702,0.0194375,2
0.2681484,0.022212,3
0.4600055,0.0348228,0
0.4176517,0.0086695999999999,1
0.3346142,0.0034813,2
0.2543298,0.0257841,3
0.4875981,0.0331463,0
0.3873139,0.0198386,1
0.3291509,0.0417341,2
0.2727577,0.0107411,3
0.4817762,0.0376167,0
0.4108444,0.0265146,1
0.3364393,0.0485823,2
0.2276324,0.0097505,3
0.4596424,0.0155766,0
0.4187248,0.0254503,1
0.313086,0.037464,2
0.2271491,0.021111,3
0.4858029,0.0280751,0
0.4178674,0.0290948,1
0.3378098,0.0202969,2
0.2496327,0.0319128,3
0.4980316,0.0054499,0
0.4156077,0.0324154,1
0.3266071,0.032269,2
0.2412909,0.0293765,3
0.4810204,0.0319764,0
0.4262611,0.0005877,1
0.3397593,0.0173979,2
0.2322191,0.0365376,3
0.4626041,0.0426142,0
0.3812178,0.0295784,1
0.3312256,0.022588,2
0.2688313,0.0435732,3
0.4905384,0.0478868,0
0.4258342,0.0197157,1
0.3507987,0.0479185,2
0.2454741,0.0276266,3
0.4993423,0.0431167,0
0.4131068,0.0273065,1
0.3534358,0.0146063,2
0.2794158,0.0405396,3
0.4709175,0.02473,0
0.395568,0.0371768,1
0.3459943,0.022539,2
0.2386951,0.0494759,3
0.5003876,0.0113091,0
0.4068029,0.0163998,1
0.3561519,0.0358965,2
0.2415726,0.0251878,3
0.4872221,0.030279,0
0.4110641,0.04825,1
0.34273,0.0122567,2
0.2426339,0.0279136,3
0.485521,0.0186002,0
0.3906112,0.0230399,1
0.3594583,0.0336554,2
0.2541217,0.0397066,3
0.4921284,0.0304985,0
0.4214554,0.049271,1
0.3545987,0.0236056,2
0.2625555,0.0206907,3
0.4955808,0.0339746,0
0.4015499,0.018723,1
0.3142244,0.0405104,2
0.2856074,0.0422736,3
0.4709491,0.0464941,0
0.4006156,0.020978,1
0.3334753,0.0396397,2
0.2847705,0.0270588,3
0.4760049,0.015932,0
0.4292278,0.0029831,1
0.3368294,0.00897,2
0.2520418,0.0414239,3
0.4688226,0.0247156,0
0.4275358,0.0160512,1
0.3637793,0.0091139,2
0.2842457,0.0471882,3
0.5132228,0.0134308,0
0.4202156,0.0097712,1
0.3477258,0.0457077,2
0.2645482,0.0295558,3
0.4872892,0.0013261,0
0.4268397,0.0190887,1
0.3474371,0.01904,2
0.2726081,0.0033728,3
0.4833311,0.004785,0
0.4189528,0.0426148,1
0.3212563,0.0259501,2
0.2666564,0.0345246,3
0.4703438,0.0022825,0
0.4111607,0.0072413,1
0.3438084,0.0391648,2
0.2505686,0.0231659,3
0.4852965,0.0232789,0
0.4056827,0.0461602,1
0.370033,0.0312139,2
0.2861487,0.0165078,3
0.5219642,0.0446259,0
0.4009717,0.0491805,1
0.3470444,0.0070168,2
0.2699207,0.0139829,3
0.5063704,0.0213959,0
0.4091328,0.0340502,1
0.3271032,0.0479194,2
0.2525531,0.0191129,3
0.4991647,0.0115449,0
0.418203,0.0019264,1
0.3635474,0.019294,2
0.277446,0.0026296,3
0.4759641,0.0379445,0
0.4041371,0.0254122,1
0.3319176,0.0426046,2
0.2507129,0.0109749,3
0.5216265,0.0343027,0
0.4239651,0.0430936,1
0.3308043,0.0243234,2
0.2817608,0.0024969,3
