Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19,Att20,Att21,Att22,Att23,Att24,Att25,Att26,Att27,Att28,Att29,Att30,Att31,Att32,Att33,class
0.358116,0.014443,0.022431,0.210136,0.313735,0.584998,0.564325,0.043684,0.025955,0.045537,0.031266,0.049496,0.01657,0.018231,0.045166,0.031858,0.007786,0.012409,0.010501,0.011143,0.005869,0.010028,0.01549,0.039247,0.075074,0.051749,0.03101,0.020944,0.009344,0.009869,0.007229,0.010761,0.009759,1
0.773723,0.236187,0.341408,0.456116,0.002655,0.558103,0.536292,0.014779,0.010589,0.010698,0.007725,0.024143,0.008069,0.003587,0.009782,0.075534,0.005312,0.002532,0.050572,0.007095,0.016014,0.003485,0.002784,0.004718,0.014174,0.098497,0.077168,0.029344,0.007429,0.004314,0.005389,0.006808,0.020959,3
0.320147,0.409696,0.38554,0.291114,0.006757,0.476375,0.444676,0.007778,0.007498,0.025852,0.037977,0.006816,0.003327,0.083983,0.023964,0.003039,0.037113,0.0047,0.00547,0.000932,0.002108,0.021415,0.095888,0.086357,0.035221,0.005972,0.00358,0.004492,0.012756,0.002309,0.003704,0.021925,0.012243,5
0.187384,0.237266,0.170903,0.006395,0.027875,0.227112,0.186844,0.11722,0.10009,0.05089,0.076597,0.064103,0.062453,0.020319,0.040404,0.158424,0.064834,0.032224,0.018086,0.015865,0.029039,0.027303,0.009897,0.014288,0.024393,0.046825,0.080816,0.069304,0.027394,0.016248,0.014787,0.019523,0.016753,4
0.659422,0.025787,0.09505,0.391061,0.285691,0.574506,0.523682,0.02523,0.027245,0.023868,0.014097,0.011592,0.007856,0.066428,0.013007,0.009682,0.051861,0.008679,0.006453,0.00402,0.005649,0.015782,0.068635,0.057067,0.018666,0.008901,0.007191,0.008139,0.009457,0.007992,0.006204,0.015533,0.010921,5
0.512371,0.155016,0.226182,0.298011,0.00562,0.374353,0.335072,0.025539,0.109222,0.082444,0.025519,0.137006,0.09842,0.040384,0.068825,0.027303,0.011557,0.043397,0.159268,0.155775,0.089011,0.071486,0.026269,0.025897,0.009865,0.030317,0.023627,0.013075,0.01046,0.011933,0.021195,0.06158,0.189487,0
0.618823,0.188246,0.271538,0.363716,0.446432,0.016932,0.407916,0.010728,0.021479,0.011212,0.072984,0.005434,0.019273,0.102891,0.006411,0.028003,0.021179,0.016511,0.001914,0.003045,0.016426,0.235774,0.095827,0.04231,0.007314,0.006494,0.003511,0.012343,0.002006,0.012753,0.027609,0.004168,0.010368,5
0.531443,0.164651,0.238044,0.31438,0.006764,0.466008,0.415289,0.023529,0.048627,0.028277,0.009614,0.026831,0.053533,0.007889,0.091396,0.01542,0.003759,0.005284,0.021243,0.133193,0.046966,0.022382,0.005592,0.007171,0.014355,0.003521,0.015949,0.0208,0.00497,0.004891,0.003216,0.006685,0.024539,0
0.284748,0.01295,0.171579,0.264304,0.340094,0.433365,0.399189,0.132805,0.307098,0.188553,0.178752,0.090641,0.302558,0.211156,0.067386,0.092238,0.042364,0.033249,0.062994,0.133959,0.295136,0.42985,0.195178,0.144654,0.079151,0.030073,0.020184,0.018048,0.031626,0.055449,0.031494,0.032355,0.028728,1
0.489484,0.145529,0.291907,0.215159,0.355963,0.432273,0.330049,0.01236,0.058158,0.067822,0.008282,0.317594,0.055578,0.168409,0.025079,0.006991,0.006874,0.065307,0.30878,0.080095,0.049176,0.032102,0.023384,0.008318,0.025444,0.017649,0.006417,0.015359,0.009524,0.010767,0.065193,0.411071,0.490644,0
0.511625,0.156283,0.304241,0.226798,0.372442,0.001716,0.340664,0.017326,0.056271,0.044887,0.010174,0.088837,0.052659,0.017421,0.055012,0.018958,0.004453,0.008286,0.091937,0.100762,0.046903,0.023052,0.011225,0.021855,0.006224,0.015435,0.01733,0.008639,0.010695,0.00799,0.005558,0.027456,0.148068,2
0.361364,0.448621,0.01149,0.324948,0.516816,0.411728,0.485996,0.09217,0.096168,0.129257,0.103804,0.141398,0.085248,0.059719,0.153092,0.154816,0.051072,0.058452,0.056084,0.019711,0.019214,0.042058,0.053916,0.142479,0.24405,0.196393,0.152853,0.142183,0.07075,0.044807,0.027783,0.023698,0.021144,5
0.454585,0.140046,0.200634,0.270398,0.017106,0.335999,0.287084,0.036701,0.036757,0.025381,0.026856,0.070287,0.013183,0.038632,0.013276,0.009192,0.024179,0.135268,0.061826,0.021259,0.011897,0.015068,0.006232,0.046548,0.016837,0.008675,0.008776,0.006794,0.008618,0.062406,0.113612,0.074714,0.026537,0
0.365806,0.472238,0.011861,0.445012,0.32868,0.838502,0.779509,0.013104,0.010893,0.019295,0.009265,0.056933,0.009073,0.003662,0.018123,0.062917,0.00669,0.004841,0.012109,0.004119,0.005708,0.004547,0.003594,0.005641,0.02722,0.072654,0.06249,0.028756,0.009424,0.007423,0.005631,0.006911,0.009132,1
0.513598,0.154956,0.308628,0.226836,0.453405,0.005837,0.407061,0.008461,0.036319,0.033596,0.005617,0.066384,0.037782,0.013891,0.052283,0.014498,0.003088,0.010031,0.066638,0.092374,0.034037,0.016824,0.007127,0.019305,0.007599,0.009383,0.015277,0.005763,0.005762,0.004056,0.005937,0.020957,0.087776,2
0.586467,0.177778,0.259905,0.347156,0.429802,0.519196,0.407524,0.005202,0.035142,0.00959,0.024867,0.005405,0.065544,0.028024,0.005125,0.05336,0.010223,0.002974,0.004049,0.011206,0.07364,0.096109,0.02562,0.008788,0.006257,0.005153,0.007727,0.006739,0.014506,0.020819,0.005157,0.012333,0.006035,2
0.26746,0.34315,0.248107,0.006757,0.977794,0.330527,0.94803,0.018189,0.071436,0.031956,0.012206,0.014353,0.084614,0.010071,0.013954,0.012486,0.005856,0.002982,0.009423,0.04195,0.081319,0.0533,0.008561,0.004542,0.004161,0.004997,0.004751,0.012728,0.007844,0.003612,0.003405,0.004121,0.006348,0
0.264772,0.016578,0.144564,0.022578,0.221756,0.125693,0.17225,0.120931,0.195502,0.098072,0.086651,0.135614,0.127898,0.08153,0.048652,0.049329,0.04125,0.066725,0.127131,0.108241,0.096614,0.103575,0.050298,0.036679,0.035812,0.023943,0.030101,0.029184,0.021861,0.028257,0.033036,0.090911,0.12159,0
0.395089,0.504734,0.353793,0.001596,0.011622,0.466309,0.475559,0.02078,0.016336,0.011762,0.032069,0.028324,0.040042,0.004199,0.006052,0.101113,0.027336,0.004493,0.004696,0.037412,0.005285,0.007114,0.002805,0.003104,0.00798,0.027614,0.114755,0.119861,0.038522,0.011363,0.006357,0.006972,0.007357,1
0.510047,0.154591,0.303093,0.225753,0.44592,0.524919,0.439582,0.00439,0.015666,0.01747,0.00225,0.058739,0.015207,0.008159,0.030623,0.007409,0.002546,0.004132,0.063272,0.046975,0.01369,0.005569,0.00304,0.017473,0.003296,0.01231,0.006618,0.004326,0.003486,0.004017,0.004421,0.015174,0.117947,2
0.49137,0.152118,0.589884,0.292516,0.211277,0.611755,0.589758,0.004831,0.01026,0.014788,0.003682,0.056084,0.009477,0.026408,0.00596,0.004398,0.003056,0.010165,0.054778,0.018401,0.009053,0.009875,0.005366,0.004656,0.008548,0.007988,0.004862,0.009573,0.005103,0.00852,0.013541,0.064666,0.095199,0
0.788849,0.238453,0.346383,0.461432,0.017056,0.007047,0.456324,0.020552,0.013969,0.013892,0.014963,0.026809,0.016224,0.005095,0.00807,0.135355,0.010009,0.003554,0.022824,0.021352,0.012538,0.003267,0.002852,0.003191,0.009795,0.05222,0.140217,0.059021,0.013709,0.003691,0.004234,0.007732,0.0109,3
0.525875,0.157498,0.231679,0.308171,0.378455,0.00129,0.347254,0.013354,0.134924,0.109226,0.009228,0.090333,0.137035,0.013595,0.199953,0.066252,0.004221,0.013115,0.090823,0.341271,0.123916,0.043415,0.021616,0.036179,0.010984,0.010976,0.065609,0.009803,0.023304,0.008825,0.006064,0.017164,0.10639,2
0.527058,0.157596,0.309827,0.232076,0.457722,0.006566,0.409982,0.005291,0.032397,0.024475,0.002933,0.021124,0.03466,0.004903,0.047902,0.015875,0.001952,0.002889,0.019189,0.080738,0.031152,0.012283,0.003352,0.008391,0.006122,0.002892,0.016764,0.005232,0.003117,0.002851,0.003283,0.006515,0.024427,2
0.682572,0.211102,0.022678,0.012314,0.393288,0.297821,0.382376,0.02385,0.018488,0.033974,0.01659,0.019391,0.011537,0.018791,0.035231,0.013411,0.010844,0.027538,0.010976,0.005006,0.006386,0.011442,0.014992,0.08564,0.050947,0.019349,0.008911,0.010504,0.006997,0.013681,0.006828,0.011195,0.018437,5
0.207995,0.09722,0.121542,0.0068,0.098047,0.174213,0.11162,0.35405,0.305137,0.23297,0.253182,0.236568,0.239133,0.158348,0.1961,0.291164,0.2281,0.189592,0.163214,0.096884,0.105209,0.118821,0.067926,0.082755,0.112551,0.088967,0.117544,0.175525,0.127842,0.108728,0.073213,0.080329,0.096205,4
0.498165,0.152072,0.297034,0.2211,0.437125,0.367325,0.336354,0.009239,0.020684,0.033188,0.003452,0.159031,0.018475,0.034383,0.02693,0.00358,0.002026,0.010549,0.176789,0.058432,0.015993,0.006199,0.005315,0.013386,0.002505,0.020958,0.003185,0.008889,0.002891,0.002866,0.006274,0.077004,0.309518,2
0.379156,0.023516,0.221641,0.027876,0.24239,0.330791,0.305934,0.11312,0.112577,0.105172,0.092567,0.185622,0.087508,0.055292,0.091304,0.23773,0.05917,0.040137,0.068518,0.044499,0.039029,0.037472,0.03393,0.071101,0.14141,0.22972,0.235812,0.244939,0.078199,0.070732,0.063042,0.050912,0.045715,1
0.225488,0.285158,0.270492,0.204399,0.022434,0.006962,0.235811,0.021083,0.025162,0.020413,0.014095,0.051247,0.015499,0.021338,0.007013,0.006599,0.012973,0.051266,0.043544,0.018299,0.012448,0.013364,0.005028,0.008483,0.008018,0.005892,0.004921,0.005456,0.006329,0.020846,0.040462,0.036678,0.016752,0
0.344072,0.436227,0.022811,0.304729,0.065873,0.320035,0.297278,0.030756,0.027995,0.065368,0.022912,0.064207,0.017131,0.016103,0.068281,0.035917,0.007603,0.026759,0.013121,0.008332,0.006964,0.007608,0.010576,0.064062,0.100985,0.06344,0.031372,0.017001,0.008122,0.008234,0.007557,0.007987,0.011949,1
0.308379,0.403377,0.012231,0.282381,0.371843,0.471041,0.435058,0.041358,0.072054,0.08457,0.146461,0.033378,0.040212,0.226531,0.059683,0.013651,0.065203,0.02098,0.015778,0.01058,0.033861,0.10928,0.231916,0.217137,0.0887,0.025744,0.015016,0.014524,0.011401,0.008264,0.016518,0.043415,0.028513,5
0.3625,0.012205,0.21932,0.329907,0.570122,0.600937,0.63546,0.018661,0.010882,0.015547,0.0037,0.035112,0.003978,0.003498,0.017018,0.027944,0.00327,0.002774,0.010609,0.003737,0.0038,0.004261,0.003117,0.006142,0.026292,0.04818,0.028026,0.010356,0.005782,0.004984,0.005844,0.010818,0.008282,1
0.229312,0.296244,0.017603,0.034168,0.205513,0.277916,0.236656,0.068916,0.075339,0.074839,0.033433,0.128852,0.044468,0.055709,0.026557,0.020117,0.016794,0.064806,0.1024,0.050501,0.02345,0.017047,0.013131,0.01248,0.020679,0.009727,0.009099,0.008615,0.006065,0.011623,0.039591,0.089774,0.064217,2
0.343213,0.436935,0.011686,0.313474,0.40963,0.514804,0.483645,0.022165,0.020397,0.053519,0.012488,0.047651,0.004698,0.011974,0.069614,0.01934,0.003793,0.033805,0.00589,0.00676,0.002682,0.005862,0.011092,0.064877,0.110218,0.049248,0.018149,0.00829,0.004531,0.004962,0.011089,0.005704,0.008156,5
0.191141,0.248663,0.177701,0.237826,0.349862,0.29245,0.257643,0.205974,0.204115,0.016264,0.190972,0.034506,0.073485,0.016159,0.013047,0.204886,0.195537,0.09397,0.026942,0.027104,0.011703,0.055736,0.014911,0.008518,0.007739,0.014805,0.083009,0.170589,0.065273,0.031081,0.009743,0.011736,0.018218,4
0.380559,0.117067,0.167255,0.226123,0.27964,0.000629,0.240773,0.177153,0.168702,0.0659,0.143168,0.106417,0.097812,0.029967,0.060413,0.325156,0.13084,0.055877,0.040011,0.023817,0.062659,0.041985,0.024392,0.023269,0.04038,0.102725,0.164961,0.139944,0.040293,0.029935,0.017615,0.038444,0.02706,4
0.526751,0.157977,0.312812,0.232,0.382248,0.461377,0.355553,0.006424,0.128011,0.098969,0.007332,0.060248,0.131896,0.009802,0.138549,0.02708,0.003311,0.007262,0.056425,0.259261,0.120064,0.043274,0.012826,0.011955,0.013612,0.004502,0.030659,0.007885,0.010611,0.005956,0.004995,0.010636,0.055833,2
0.587782,0.036326,0.078285,0.253965,0.334942,0.04943,0.298336,0.12804,0.144143,0.104086,0.063997,0.055496,0.141972,0.04596,0.038528,0.120469,0.038247,0.017075,0.024664,0.062887,0.161137,0.149182,0.035745,0.029156,0.024944,0.026524,0.02049,0.031055,0.038058,0.024342,0.019854,0.019764,0.023054,5
0.35837,0.458209,0.32609,0.000881,0.42611,0.012145,0.432458,0.022597,0.021144,0.087378,0.029274,0.113849,0.020047,0.021623,0.107336,0.081575,0.012125,0.021709,0.026247,0.019247,0.010288,0.012786,0.017901,0.064097,0.184185,0.151006,0.080141,0.04309,0.015098,0.013054,0.011296,0.027504,0.015694,1
0.546437,0.165961,0.323577,0.242402,0.011614,0.478119,0.425049,0.009077,0.059757,0.027349,0.005064,0.008247,0.093789,0.00666,0.054022,0.008188,0.002799,0.003429,0.006597,0.096208,0.08461,0.03678,0.00474,0.00599,0.020367,0.002505,0.004006,0.021467,0.003406,0.006872,0.004282,0.00644,0.008876,2
0.414582,0.121174,0.182484,0.24267,0.007163,0.017219,0.207155,0.083084,0.078865,0.02926,0.10942,0.042119,0.095279,0.029203,0.019302,0.074707,0.118019,0.058326,0.028096,0.02235,0.015954,0.030956,0.018803,0.012681,0.012523,0.01267,0.038127,0.129516,0.090937,0.056028,0.029752,0.01896,0.013024,4
0.62312,0.190027,0.006945,0.276287,0.361976,0.454424,0.422378,0.029724,0.036303,0.026063,0.048895,0.009369,0.023444,0.090223,0.016729,0.022717,0.034154,0.015855,0.003216,0.006453,0.019558,0.139313,0.088072,0.051604,0.024368,0.007778,0.004142,0.018503,0.003879,0.0068,0.029546,0.017895,0.011076,5
0.509039,0.15454,0.225314,0.29861,0.366778,0.444472,0.338099,0.005428,0.021245,0.021443,0.003574,0.06298,0.020977,0.010337,0.025818,0.008838,0.003739,0.007931,0.074226,0.045728,0.018362,0.008066,0.003862,0.011949,0.003548,0.016372,0.008463,0.008028,0.0041,0.00485,0.006476,0.01735,0.116892,2
0.395137,0.117606,0.231819,0.171751,0.34456,0.287593,0.252528,0.078203,0.073325,0.02755,0.107077,0.039582,0.093878,0.011506,0.023626,0.263746,0.103571,0.03065,0.019816,0.024146,0.017288,0.023607,0.009307,0.009223,0.012076,0.041823,0.199295,0.242214,0.08151,0.021998,0.011658,0.019145,0.016494,4
0.252834,0.332554,0.237776,0.318587,0.388498,0.470765,0.364672,0.007144,0.060638,0.048436,0.005449,0.019458,0.065829,0.006486,0.03497,0.014034,0.003236,0.004806,0.016861,0.104305,0.058611,0.02438,0.005169,0.005363,0.016889,0.003885,0.013901,0.020202,0.003699,0.005975,0.005949,0.005443,0.007995,2
0.30154,0.379624,0.27539,0.363321,0.441704,0.53068,0.415182,0.006336,0.033064,0.022526,0.062623,0.012229,0.035119,0.08692,0.021234,0.017442,0.020246,0.010168,0.005865,0.00549,0.033332,0.131954,0.084146,0.061903,0.029921,0.012058,0.00802,0.010218,0.007839,0.011558,0.012999,0.011019,0.014126,5
0.492904,0.151963,0.293705,0.219442,0.361614,0.437757,0.333718,0.014142,0.067036,0.124865,0.009245,0.383024,0.06016,0.129217,0.026065,0.00666,0.006833,0.044234,0.437705,0.139084,0.053525,0.018335,0.021568,0.014935,0.020253,0.061232,0.005689,0.02917,0.009607,0.005455,0.02752,0.303252,0.632883,2
0.246323,0.309619,0.220723,0.296927,0.365581,0.43969,0.33614,0.005466,0.02811,0.038919,0.00339,0.063301,0.027296,0.01404,0.010319,0.004217,0.002916,0.008399,0.06801,0.045215,0.024514,0.007923,0.003523,0.005985,0.005289,0.013923,0.004127,0.007318,0.004703,0.003895,0.005024,0.027618,0.087352,2
0.605845,0.187426,0.269471,0.362951,0.441828,0.530919,0.416963,0.005114,0.029077,0.011519,0.068318,0.0049,0.044042,0.085319,0.008633,0.06299,0.012499,0.017045,0.003179,0.005368,0.044577,0.271651,0.080477,0.041168,0.012545,0.009036,0.008204,0.01106,0.007551,0.047756,0.029407,0.005401,0.014367,5
0.513598,0.155011,0.22724,0.303518,0.005683,0.373688,0.337066,0.023786,0.122959,0.099709,0.02095,0.162482,0.120746,0.03255,0.097972,0.034541,0.008652,0.03757,0.166852,0.211422,0.10749,0.069177,0.017562,0.024745,0.011204,0.019913,0.03262,0.01716,0.007736,0.005609,0.010484,0.041588,0.179982,0
0.247397,0.315938,0.220774,0.292771,0.022988,0.007171,0.260778,0.081757,0.199477,0.181998,0.047581,0.24493,0.180435,0.059032,0.055115,0.033453,0.018546,0.072768,0.25513,0.202614,0.149501,0.083953,0.027406,0.023236,0.033678,0.056797,0.0281,0.031129,0.013657,0.022075,0.04478,0.119528,0.236605,0
0.364306,0.460961,0.006602,0.243499,0.318475,0.42793,0.368769,0.04494,0.030863,0.028882,0.03504,0.048262,0.041076,0.009035,0.036043,0.05807,0.032254,0.012678,0.031055,0.015918,0.011584,0.010598,0.006799,0.014708,0.063534,0.081802,0.056817,0.081163,0.045441,0.026738,0.013052,0.014168,0.007866,3
0.249164,0.321168,0.230978,0.307865,0.001499,0.379223,0.346684,0.006649,0.104954,0.109205,0.005521,0.089962,0.109455,0.009309,0.050994,0.024962,0.003254,0.012245,0.086862,0.169262,0.09953,0.028696,0.006628,0.010093,0.006044,0.009068,0.023649,0.007112,0.005274,0.00636,0.00527,0.015337,0.059073,0
0.529645,0.165261,0.236526,0.318459,0.006342,0.395187,0.358154,0.021639,0.129077,0.078221,0.025344,0.063122,0.137652,0.030456,0.099218,0.038462,0.005376,0.011151,0.057892,0.215753,0.126767,0.087922,0.023171,0.01519,0.031756,0.006565,0.035861,0.024138,0.005446,0.010799,0.007556,0.017898,0.05437,2
0.544114,0.163123,0.319814,0.237532,0.392989,0.476274,0.367914,0.003851,0.040758,0.027681,0.003271,0.011679,0.056419,0.004529,0.038526,0.006062,0.002346,0.003673,0.009775,0.077279,0.050898,0.017211,0.00348,0.00482,0.016947,0.003165,0.004884,0.00776,0.002783,0.006901,0.004872,0.004685,0.008587,2
0.261366,0.332663,0.314955,0.237507,0.388223,0.466146,0.358617,0.007748,0.106779,0.072468,0.007432,0.027005,0.130133,0.008305,0.068873,0.021736,0.004175,0.005308,0.023958,0.166693,0.121251,0.043134,0.008025,0.010128,0.020082,0.005456,0.019879,0.02284,0.006696,0.01228,0.007648,0.005797,0.011853,5
0.495052,0.468588,0.071937,0.292618,0.011318,0.437983,0.382803,0.013472,0.024347,0.020724,0.00617,0.097931,0.016229,0.03484,0.018717,0.004432,0.00375,0.01265,0.11304,0.030379,0.013817,0.013764,0.006671,0.005223,0.008479,0.029622,0.003213,0.007268,0.004827,0.003446,0.006999,0.076298,0.168478,2
0.24741,0.015456,0.023148,0.148957,0.222068,0.168477,0.187588,0.113161,0.136474,0.095219,0.058427,0.101406,0.093848,0.050111,0.040313,0.038607,0.022825,0.031008,0.068531,0.068718,0.052835,0.040089,0.022346,0.0234,0.018885,0.016108,0.017226,0.014809,0.012089,0.012428,0.0185,0.031936,0.056839,0
0.321646,0.398909,0.006452,0.379728,0.270633,0.465958,0.433028,0.061123,0.049779,0.076498,0.082788,0.036706,0.027944,0.157876,0.063123,0.01304,0.071636,0.018014,0.007219,0.004992,0.022476,0.121152,0.163767,0.129522,0.09248,0.028682,0.01046,0.01246,0.017502,0.008134,0.020997,0.023902,0.013252,5
0.248125,0.317763,0.225621,0.011268,0.37112,0.44476,0.425548,0.042532,0.114346,0.096093,0.035434,0.122639,0.091609,0.043583,0.047004,0.026057,0.015173,0.034177,0.129405,0.135965,0.080461,0.050293,0.027958,0.02311,0.01384,0.031489,0.017694,0.016309,0.010659,0.01091,0.016103,0.051057,0.148682,2
0.506978,0.153172,0.221692,0.29773,0.001762,0.364388,0.330192,0.018352,0.034536,0.037073,0.011184,0.138063,0.028958,0.031359,0.043168,0.023123,0.006836,0.014512,0.172007,0.071474,0.0242,0.018928,0.011508,0.023841,0.012278,0.042774,0.019519,0.014583,0.007803,0.005908,0.011324,0.058694,0.267143,2
0.383856,0.495473,0.347696,0.472357,0.006849,0.580091,0.556489,0.019999,0.016814,0.016635,0.03348,0.051045,0.044428,0.005754,0.013013,0.202747,0.029906,0.004443,0.01197,0.038523,0.011473,0.008546,0.003733,0.006289,0.018059,0.06634,0.222607,0.184408,0.042586,0.01305,0.009204,0.0156,0.012531,1
0.268574,0.344649,0.244,0.330035,0.404491,0.002061,0.37486,0.010501,0.29081,0.103832,0.034328,0.02122,0.412763,0.03841,0.043165,0.039478,0.011419,0.004606,0.01892,0.164062,0.391446,0.259832,0.035867,0.015451,0.016461,0.015856,0.006513,0.058684,0.015568,0.007107,0.012124,0.009461,0.007641,2
0.232297,0.309428,0.006898,0.221648,0.292377,0.373437,0.336033,0.0486,0.081675,0.09557,0.019779,0.184524,0.054832,0.036675,0.033449,0.015936,0.009692,0.049031,0.187738,0.117986,0.047333,0.020961,0.008129,0.021799,0.011165,0.023294,0.01177,0.007728,0.006601,0.0066,0.014984,0.071088,0.192297,0
0.191619,0.24921,0.178147,0.238361,0.291729,0.352603,0.25842,0.070598,0.070758,0.002652,0.079906,0.008196,0.040758,0.003376,0.002904,0.073642,0.079884,0.03346,0.008943,0.008117,0.001682,0.016239,0.003141,0.004474,0.001894,0.002745,0.035852,0.095899,0.040639,0.007809,0.002595,0.002762,0.009307,4
0.493956,0.152208,0.296945,0.220908,0.361676,0.006039,0.326701,0.019504,0.090283,0.160743,0.006708,0.342872,0.082912,0.088379,0.031888,0.012862,0.004793,0.045035,0.355806,0.18785,0.074195,0.021429,0.012756,0.020619,0.011734,0.029062,0.0116,0.022816,0.009329,0.005064,0.028376,0.198467,0.465873,2
0.360803,0.014929,0.215901,0.01737,0.317627,0.428068,0.424907,0.042566,0.029328,0.052767,0.023287,0.075478,0.017606,0.011348,0.045857,0.057025,0.007167,0.00744,0.014465,0.009506,0.005859,0.008383,0.007621,0.016912,0.075556,0.084227,0.055795,0.023546,0.009258,0.007833,0.007182,0.010541,0.007119,3
0.268104,0.342742,0.247992,0.329741,0.011786,0.406118,0.367843,0.009957,0.064445,0.028932,0.014537,0.014756,0.089353,0.015099,0.020142,0.018054,0.005715,0.003253,0.011905,0.052137,0.086218,0.062117,0.013159,0.006946,0.006525,0.004764,0.004961,0.013236,0.007609,0.005924,0.006054,0.008296,0.008756,5
0.378968,0.484114,0.210697,0.341929,0.011677,0.001695,0.315694,0.018693,0.019124,0.052534,0.040971,0.110289,0.047091,0.016156,0.066941,0.267046,0.033776,0.019688,0.064325,0.031634,0.022198,0.014485,0.012419,0.038485,0.104378,0.194283,0.276981,0.156733,0.047489,0.026004,0.017317,0.021158,0.023164,1
0.493649,0.164635,0.221705,0.057094,0.007094,0.277176,0.235192,0.088445,0.237077,0.150966,0.082184,0.286443,0.194723,0.169768,0.09324,0.053851,0.042317,0.096782,0.275793,0.214839,0.160417,0.173606,0.062359,0.02371,0.034561,0.044895,0.046925,0.050484,0.025991,0.037244,0.122691,0.337009,0.391242,0
